Disease,Symptoms,Description,Precautions
Gigantisme,"Excessive height, big hands/feet","Excessive height, big hands/feet. Kelebihan hormon pertumbuhan pada anak.",Consult a healthcare professional for accurate precautions.
Glaucoma,,"In Greek mythology, Glaucus (; Ancient Greek: Γλαῦκος, romanized: Glaûkos, lit. 'glimmering') was a Greek prophetic sea-god, born mortal and turned immortal upon eating a magical herb. It was believed that he came to the rescue of sailors and fishermen in storms, having earlier earned a living from the sea himself. == Family == Glaucus's parentage is different in the different traditions: (i) Nereus; (ii) Copeus; (iii) Polybus, son of Hermes, and Euboea, daughter of Larymnus; (iv) Anthedon and Alcyone; or Poseidon and the nymph Naïs.","The goal of glaucoma management for patients with increased intraocular pressure is to decrease the intraocular pressure (IOP), thus slowing the progression of glaucoma and preserving the quality of life for patients, with minimal side-effects. This requires appropriate diagnostic techniques and follow-up examinations, and judicious selection of treatments for the individual patient. Although increased IOP is only one of the major risk factors for glaucoma, lowering it via various pharmaceuticals and/or surgical techniques is currently the mainstay of glaucoma treatment. Vascular flow and neurodegenerative theories of glaucomatous optic neuropathy have prompted studies on various neuroprotective therapeutic strategies, including nutritional compounds, some of which may be regarded by clinicians as safe for use now, while others are on trial. Mental stress is also considered as consequence and cause of vision loss which means that stress management training, autogenic training and other techniques to cope with stress can be helpful. A study conducted in the UK showed that people living in an area of high deprivation were likely to be diagnosed in the later stage of the disease. It also showed that there was a lack of professional ophthalmic services in the area of high deprivation. A study in 2017 shows that there is a huge difference in the volume of glaucoma testing depending on the type of insurance in the US. Researchers reviewed 21,766 persons aged ≥ 40 years old with newly diagnosed open-angle glaucoma (OAG) and found that Medicaid recipients had substantially lower volume of glaucoma testing performed compared to patients with commercial health insurance. Results from a meta-analysis of 33,428 primary open-angle glaucoma (POAG) participants published in 2021 suggest that there are substantial ethnic and racial disparities in clinical trials in the US. Although ethnic and racial minorities have a higher disease burden, the 70.7% of the study participants was White as opposed to 16.8% Black and 3.4% Hispanic/Latino."
Glaukoma,"Narrowed vision, eye pain","Narrowed vision, eye pain. Tekanan bola mata meningkat merusak saraf optik.","The goal of glaucoma management for patients with increased intraocular pressure is to decrease the intraocular pressure (IOP), thus slowing the progression of glaucoma and preserving the quality of life for patients, with minimal side-effects. This requires appropriate diagnostic techniques and follow-up examinations, and judicious selection of treatments for the individual patient. Although increased IOP is only one of the major risk factors for glaucoma, lowering it via various pharmaceuticals and/or surgical techniques is currently the mainstay of glaucoma treatment. Vascular flow and neurodegenerative theories of glaucomatous optic neuropathy have prompted studies on various neuroprotective therapeutic strategies, including nutritional compounds, some of which may be regarded by clinicians as safe for use now, while others are on trial. Mental stress is also considered as consequence and cause of vision loss which means that stress management training, autogenic training and other techniques to cope with stress can be helpful. A study conducted in the UK showed that people living in an area of high deprivation were likely to be diagnosed in the later stage of the disease. It also showed that there was a lack of professional ophthalmic services in the area of high deprivation. A study in 2017 shows that there is a huge difference in the volume of glaucoma testing depending on the type of insurance in the US. Researchers reviewed 21,766 persons aged ≥ 40 years old with newly diagnosed open-angle glaucoma (OAG) and found that Medicaid recipients had substantially lower volume of glaucoma testing performed compared to patients with commercial health insurance. Results from a meta-analysis of 33,428 primary open-angle glaucoma (POAG) participants published in 2021 suggest that there are substantial ethnic and racial disparities in clinical trials in the US. Although ethnic and racial minorities have a higher disease burden, the 70.7% of the study participants was White as opposed to 16.8% Black and 3.4% Hispanic/Latino."
Glioblastoma,"Headaches, seizures, neurological disorders","Headaches, seizures, neurological disorders. Tumor ganas otak.","There are no known methods to prevent glioblastoma. It is the case for most gliomas, unlike for some other forms of cancer, that they happen without previous warning and there are no known ways to prevent them. Treating glioblastoma is difficult due to several complicating factors: The tumor cells are resistant to conventional therapies. The brain is susceptible to damage from conventional therapy. The brain has a limited capacity to repair itself. Many drugs cannot cross the blood–brain barrier to act on the tumor. Treatment of primary brain tumors consists of palliative (symptomatic) care and therapies intended to improve survival."
Glomerulonefritis,"Foamy urine, high blood pressure, swelling","Foamy urine, high blood pressure, swelling. Peradangan glomerulus ginjal","Antibiotic therapy to prevent streptococcal infection (prophylaxis). Steroids to suppress inflammation. Provide balanced diet in terms of calories, sodium and potassium. A low-protein diet is often recommended in chronic kidney disease, but benefits may be limited in case of glomerular disorders, the response in patients with chronic glomerulonephritis correlated closely with the effect of diet on proteinuria in these patients. Monitor for sign of kidney failure, heart failure, and hypertensive encephalopathy."
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain","Glucocorticoid deficiency is a condition where the body doesn't produce enough glucocorticoid hormones. == Signs and symptoms == Symptoms of glucocorticoid deficiency (having not enough hormones that are classified as glucocorticoids, and mostly consisting of cortisol) vary depending on the underlying cause and severity—common signs and symptoms may include fatigue, weakness, weight loss, decreased appetite, low blood pressure, salt cravings, dizziness upon standing (orthostatic hypotension), muscle aches and pains, joint pain or stiffness, nausea or vomiting. In severe cases, individuals may experience abdominal pain, confusion or delirium.",Consult a healthcare professional for accurate precautions.
Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Golf is a club-and-ball sport in which players use various clubs to hit a ball into a series of holes on a course in as few strokes as possible. Golf, unlike most ball games, cannot and does not use a standardized playing area, and coping with the varied terrains encountered on different courses is a key part of the game. Courses typically have either 9 or 18 holes, regions of terrain that each contain a cup, the hole that receives the ball.","Goitre is treated according to the cause. If the thyroid gland is producing an excess of thyroid hormones (T3 and T4), radioactive iodine is given to the patient to shrink the gland. If goitre is caused by iodine deficiency, small doses of iodide in the form of Lugol's iodine or KI solution are given. If the goitre is associated with an underactive thyroid, thyroid supplements are used as treatment. Sometimes a partial or complete thyroidectomy is required."
Gondongan,"Swollen cheek, pain when chewing","Swollen cheek, pain when chewing. Infeksi virus mumps menyerang kelenjar ludah.",Consult a healthcare professional for accurate precautions.
Gonore,"Discharge from the genitals, pain when urinating, often asymptomatic","Discharge from the genitals, pain when urinating, often asymptomatic. Infeksi bakteri Neisseria gonorrhoeae pada saluran reproduksi.",Consult a healthcare professional for accurate precautions.
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain","Gonorrhea or gonorrhoea, colloquially known as the clap, is a sexually transmitted infection (STI) caused by the bacterium Neisseria gonorrhoeae. Infection may involve the genitals, mouth, or rectum. Gonorrhea is spread through sexual contact with an infected person, or from a mother to a child during birth.","As with most sexually transmitted infections, the risk of infection can be reduced significantly by the correct use of condoms, not having sex, or can be removed almost entirely by limiting sexual activities to a mutually monogamous relationship with an uninfected person. Those previously infected are encouraged to return for follow up care to make sure that the infection has been eliminated. In addition to the use of phone contact, the use of email and text messaging have been found to improve the re-testing for infection. Newborn babies coming through the birth canal are given erythromycin ointment in the eyes to prevent blindness from infection. The underlying gonorrhea should be treated; if this is done then usually a good prognosis will follow."
Goodpasture Syndrome,"Bloody cough, kidney failure, hemoptysis","Bloody cough, kidney failure, hemoptysis. Autoimun menyerang ginjal dan paru-paru.","The major mainstay of treatment for GPS is plasmapheresis, a procedure in which the affected person's blood is sent through a centrifuge and the various components separated based on weight. The plasma contains the anti-GBM antibodies that attack the affected person's lungs and kidneys, and is filtered out. The other parts of the blood (the red blood cells, white blood cells, and platelets) are recycled and intravenously reinfused. Most individuals affected by the disease also need to be treated with immunosuppressant drugs, especially cyclophosphamide, prednisone, and rituximab, to prevent the formation of new anti-GBM antibodies so as to prevent further damage to the kidneys and lungs. Other, less toxic immunosuppressants such as azathioprine may be used to maintain remission."
Gout,"Intense joint pain, swelling, redness","The goat or domestic goat (Capra hircus) is a species of goat-antelope that is mostly kept as livestock. It was domesticated from the wild goat (C. aegagrus) of Southwest Asia and Eastern Europe. The goat is a member of the family Bovidae, meaning it is closely related to the sheep.","Risk of gout attacks can be lowered by complete abstinence from drinking alcoholic beverages, reducing the intake of fructose (e.g., high fructose corn syrup), sucrose, and purine-rich foods of animal origin, such as organ meats and seafood. Eating dairy products, vitamin C-rich foods, coffee, and cherries may help prevent gout attacks, as does losing weight. Gout may be secondary to sleep apnea via the release of purines from oxygen-starved cells. Treatment of apnea can lessen the occurrence of attacks. The initial aim of treatment is to settle the symptoms of an acute attack. Repeated attacks can be prevented by medications that reduce serum uric acid levels. Tentative evidence supports the application of ice for 20 to 30 minutes several times a day to decrease pain. Options for acute treatment include nonsteroidal anti-inflammatory drugs (NSAIDs), colchicine, and glucocorticoids. While glucocorticoids and NSAIDs work equally well, glucocorticoids may be safer. Options for prevention include allopurinol, febuxostat, and probenecid. Lowering uric acid levels can cure the disease. Treatment of associated health problems is also important. Lifestyle interventions have been poorly studied. It is unclear whether dietary supplements have an effect in people with gout."
Gout (Asam Urat),"Sudden joint pain, swelling, redness","Sudden joint pain, swelling, redness. Penumpukan kristal asam urat di sendi.",Consult a healthcare professional for accurate precautions.
Gum Disease,"Swollen, red, tender gums, bleeding gums","Periodontal disease, also known as gum disease, is a set of inflammatory conditions affecting the tissues surrounding the teeth. In its early stage, called gingivitis, the gums become swollen and red and may bleed. It is considered the main cause of tooth loss for adults worldwide.","Daily oral hygiene measures to prevent periodontal disease include: Brushing properly regularly (at least twice daily), with the person attempting to direct the toothbrush bristles underneath the gumline, helps disrupt the bacterial-mycotic growth and formation of subgingival plaque. Flossing daily and using interdental brushes (if the space between teeth is large enough), as well as cleaning behind the last tooth, the third molar, in each quarter. Using an antiseptic mouthwash: Chlorhexidine gluconate-based mouthwash in combination with careful oral hygiene may cure gingivitis, although they cannot reverse any attachment loss due to periodontitis. Regular dental check-ups and professional teeth cleaning as required: Dental check-ups serve to monitor the person's oral hygiene methods and levels of attachment around teeth, identify any early signs of periodontitis, and monitor response to treatment. Typically, dental hygienists (or dentists) use special instruments to clean (debride) teeth below the gumline and disrupt any plaque growing below the gumline. This is a standard treatment to prevent any further progression of established periodontitis. Studies show that after such a professional cleaning (periodontal debridement), microbial plaque tends to regrow to precleaning levels after about three to four months. Nonetheless, the continued stabilization of a person's periodontal state depends largely, if not primarily, on the person's oral hygiene at home, as well as on the go. Without daily oral hygiene, periodontal disease will not be overcome, especially if the person has a history of extensive periodontal disease. The cornerstone of successful periodontal treatment starts with establishing excellent oral hygiene. This includes twice-daily brushing with daily flossing. Also, the use of an interdental brush is helpful if the space between the teeth allows. For smaller spaces, products such as narrow picks with soft rubber bristles provide excellent manual cleaning. Persons with dexterity problems, such as with arthritis, may find oral hygiene to be difficult and may require more frequent professional care and/or the use of a powered toothbrush. Persons with periodontitis must realize it is a chronic inflammatory disease and a life-long regimen of excellent hygiene and professional maintenance care with a dentist/hygienist or periodontist is required to maintain affected teeth."
HIV/AIDS,"Decreased immune system, recurrent infections","Decreased immune system, recurrent infections. Infeksi virus HIV menyerang sistem imun.","HIV/AIDS is a terminal illness, as there is currently no cure, nor an effective HIV vaccine. Treatment consists of highly active antiretroviral therapy (ART), which slows progression of the disease. As of 2022, 39 million people globally were living with HIV, and 29.8 million people were accessing ART. Treatment also includes preventive and active treatment of opportunistic infections. As of July 2022, four people have been successfully cleared of HIV. Rapid initiation of antiretroviral therapy within one week of diagnosis appear to improve treatment outcomes in low and medium-income settings and is recommend for newly diagnosed HIV patients. HIV retinopathy was a very common cause of blindness in people with AIDS before the introduction of highly active antiretroviral therapy, but its incidence is declining due to proper and timely management of AIDS. Even if there are signs of retinopathy, it may reverse as CD4+ T cell counts increase. Reversal of HIV retinopathy is a helpful sign of positive response to antiretroviral therapy in AIDS patients. But if HIV treatment is delayed it may lead to permanent visual loss. Occurrence of HIV retinopathy may also be an indicator of therapeutic failure in AIDS patients undergoing treatment."
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Hallucinogen persisting perception disorder (HPPD) is a non-psychotic disorder in which a person experiences lasting or persistent visual hallucinations or perceptual distortions after using drugs. This includes after psychedelics, dissociatives, entactogens, tetrahydrocannabinol (THC), and SSRIs. Despite being a hallucinogen-specific disorder, the specific contributory role of psychedelic drugs is unknown.",Consult a healthcare professional for accurate precautions.
Hanta Virus,"Fever, cough, shortness of breath, muscle aches, light bleeding","Fever, cough, shortness of breath, muscle aches, light bleeding. Infeksi virus Hantavirus dari urine/tinja tikus.",Consult a healthcare professional for accurate precautions.
Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Fatigue, weight gain, thyroid enlargement. Autoimun menyebabkan hipotiroid.",Consult a healthcare professional for accurate precautions.
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss","Head and neck cancer is a general term encompassing multiple cancers that can develop in the head and neck region. These include cancers of the mouth, tongue, gums and lips (oral cancer), voice box (laryngeal), throat (nasopharyngeal, oropharyngeal, hypopharyngeal), salivary glands, nose and sinuses. Head and neck cancer can present a wide range of symptoms depending on where the cancer developed.","Avoidance of risk factors (such as smoking and alcohol) is the single most effective form of prevention. Regular dental examinations may identify pre-cancerous lesions in the oral cavity. While screening in the general population does not appear to be useful, screening high-risk groups by examination of the throat might be useful. Head and neck cancer is often curable if it is diagnosed early; however, outcomes are typically poor if it is diagnosed late. When diagnosed early, oral, head, and neck cancers can be treated more easily, and the chances of survival increase tremendously. The HPV vaccine helps to prevent the development of HPV-related oropharyngeal cancer. Improvements in diagnosis and local management, as well as targeted therapy, have led to improvements in quality of life and survival for people with head and neck cancer. After a histologic diagnosis has been established and tumor extent determined, such as with the use of PET-CT, the selection of appropriate treatment for a specific cancer depends on a complex array of variables, including tumor site, relative morbidity of various treatment options, concomitant health problems, social and logistic factors, previous primary tumors, and the person's preference. Treatment planning generally requires a multidisciplinary approach involving specialist surgeons, medical oncologists, and radiation oncologists. Surgical resection and radiation therapy are the mainstays of treatment for most head and neck cancers and remain the standard of care in most cases. For small primary cancers without regional metastases (stage I or II), wide surgical excision alone or curative radiation therapy alone is used. For more extensive primary tumors or those with regional metastases (stage III or IV), planned combinations of pre- or postoperative radiation and complete surgical excision are generally used. More recently, as historical survival and control rates have been recognized as less than satisfactory, there has been an emphasis on the use of various induction or concomitant chemotherapy regimens."
Headache after lumbar puncture,throbbing headache,"Post-dural-puncture headache (PDPH) is a complication of puncture of the dura mater (one of the membranes around the brain and spinal cord). The headache is severe and described as ""searing and spreading like hot metal"", involving the back and front of the head and spreading to the neck and shoulders, sometimes involving neck stiffness. It is exacerbated by movement and sitting or standing and is relieved to some degree by lying down.",Consult a healthcare professional for accurate precautions.
Heart Block,"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms",,Consult a healthcare professional for accurate precautions.
Heart attack,,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","There is a large crossover between the lifestyle and activity recommendations to prevent a myocardial infarction, and those that may be adopted as secondary prevention after an initial myocardial infarction, because of shared risk factors and an aim to reduce atherosclerosis affecting heart vessels. The influenza vaccine also appear to protect against myocardial infarction with a benefit of 15 to 45%. A myocardial infarction requires immediate medical attention. Treatment aims to preserve as much heart muscle as possible, and to prevent further complications. Treatment depends on whether the myocardial infarction is a STEMI or NSTEMI. Treatment in general aims to unblock blood vessels, reduce blood clot enlargement, reduce ischemia, and modify risk factors with the aim of preventing future MIs. In addition, the main treatment for myocardial infarctions with ECG evidence of ST elevation (STEMI) include thrombolysis or percutaneous coronary intervention, although PCI is also ideally conducted within 1–3 days for NSTEMI. In addition to clinical judgement, risk stratification may be used to guide treatment, such as with the TIMI and GRACE scoring systems."
Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion",Hemarthrosis is a bleeding into joint spaces. It is a common feature of hemophilia. == Causes == It usually follows injury but occurs mainly in patients with a predisposition to hemorrhage such as those being treated with warfarin (or other anticoagulants) and patients with hemophilia.,"In hemophilia it may occur spontaneously, and recurrent hemarthroses are a major cause of disability in that patient group due to hemophilic arthropathy, requiring synovectomy, joint replacement and increased medical therapy to prevent further bleeding episodes. Reducing hemarthroses events using intravenous administration of blood clotting factor concentrate on a regular basis starting in early childhood, reduces joint deterioration and increases the person's quality of life compared to ""on demand"" treatment (treating after a bleed). The minimal effective dose and best dosage frequency have not been established. It is not clear, due to lack of sufficient data, if preventative therapy with clotting factor concentrate is also effective at reducing joint deterioration if treatment is started after joint damage has occurred."
Hemochromatosis,"Weakness, joint pain, dark skin, liver problems","Weakness, joint pain, dark skin, liver problems. Penumpukan besi berlebih akibat kelainan genetik.",Consult a healthcare professional for accurate precautions.
Hemofilia,"Bruises easily, bleeding takes a long time to stop","Bruises easily, bleeding takes a long time to stop. Gangguan genetik kekurangan faktor pembekuan darah.",Consult a healthcare professional for accurate precautions.
Hemokromatosis,"Fatigue, joint pain, dark skin","Fatigue, joint pain, dark skin. Penumpukan besi berlebih di tubuh",Consult a healthcare professional for accurate precautions.
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","Hemolytic anemia or haemolytic anaemia is a form of anemia due to hemolysis, the abnormal breakdown of red blood cells (RBCs), either in the blood vessels (intravascular hemolysis) or elsewhere in the human body (extravascular). This most commonly occurs within the spleen, but also can occur in the reticuloendothelial system or mechanically (prosthetic valve damage). Hemolytic anemia accounts for 5% of all existing anemias.",Consult a healthcare professional for accurate precautions.
Hemophagocytic Lymphohistiocytosis,"High fever, organ enlargement, anemia","High fever, organ enlargement, anemia. Aktivasi berlebihan sistem imun.","HLH is a description of an immunophysiologic state in time. It can be dangerous to infer a genetic impairment of granule-mediated cytotoxicity in patients, especially older children and adults, who meet any of the various criteria for HLH. Thus, like shock, one must simultaneously manage both the acute physiologic changes associated with HLH (like systemic inflammation, DIC, hepatitis, etc.) and look deeply for various underlying contributors. The International Histiocyte Society has collected the published consensus management documents for the many contexts in which HLH occurs and they host full-text versions. Most patients who meet HLH criteria will have secondary cases. Treatment for these patients should focus on the underlying contributors. Additionally, treatment of the inflammation of HLH itself is often required. While optimal treatment of HLH is still being debated, current treatment regimes usually involve high dose corticosteroids, etoposide and cyclosporin. Intravenous immunoglobulin is also used. Methotrexate and vincristine have also been used. However, for secondary HLH, evidence suggests that the benefit of etoposide-based therapy is limited, as it may mask or delay diagnosis of the underlying contributors and increase risk of toxicity. Cytokine targeted therapy, which is less toxic, could be a more rational approach to treat inflammation while not interfering with the identification of underlying causes of secondary HLH. On 20 November 2018, the FDA approved the anti-IFN-gamma monoclonal antibody emapalumab (proprietary name Gamifant) for the treatment of pediatric and adult primary HLH. In October 2021 NHS England published Clinical Commissioning Policy: Anakinra for Haemophagocytic Lymphohistiocytosis (HLH) for adults and children in all ages, allowing Anakinra (a modified recombinant interleukin 1 receptor antagonist) to be used in the treatment of HLH. People with HLH, especially when untreated, may need intensive therapy. Therefore, HLH should be included in the differential diagnosis of intensive care unit patients with cytopenia and hyperferritinemia. Patients in the earlier stages of HLH are frequently hospitalized at internal medicine wards."
Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","Haemophilia (British English), or hemophilia (American English) (from Ancient Greek αἷμα (haîma) 'blood' and φιλία (philía) 'love of'), is a mostly inherited genetic disorder that impairs the body's ability to make blood clots, a process needed to stop bleeding. This results in people bleeding for a longer time after an injury, easy bruising, and an increased risk of bleeding inside joints or the brain. Those with a mild case of the disease may have symptoms only after an accident or during surgery.",There is no long-term cure. Treatment and prevention of bleeding episodes is done primarily by replacing the missing blood clotting factors.
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area","Hemorrhoids (or haemorrhoids), also known as piles, are vascular structures in the anal canal. In their normal state, they are cushions that help with stool control. They become a disease when swollen or inflamed; the unqualified term hemorrhoid is often used to refer to the disease.","A number of preventative measures are recommended, including avoiding straining while attempting to defecate, avoiding constipation and diarrhea either by eating a high-fiber diet and drinking plenty of fluid or by taking fiber supplements and getting sufficient exercise. Spending less time attempting to defecate, avoiding reading while on the toilet, and losing weight for overweight persons and avoiding heavy lifting are also recommended."
Henoch-Schönlein Purpura,"Purple rash, joint pain, kidney problems","Purple rash, joint pain, kidney problems. Vaskulitis akibat deposisi IgA.",Consult a healthcare professional for accurate precautions.
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","Hepatic encephalopathy (HE) is an altered level of consciousness as a result of liver failure. Its onset may be gradual or sudden. Other symptoms may include movement problems, changes in mood, or changes in personality.",Consult a healthcare professional for accurate precautions.
Hepatitis,,"Hepatitis is inflammation of the liver tissue. Some people or animals with hepatitis have no symptoms, whereas others develop yellow discoloration of the skin and whites of the eyes (jaundice), poor appetite, vomiting, tiredness, abdominal pain, and diarrhea. Hepatitis is acute if it resolves within six months, and chronic if it lasts longer than six months.","The treatment of hepatitis varies according to the type, whether it is acute or chronic, and the severity of the disease. Activity: Many people with hepatitis prefer bed rest, though it is not necessary to avoid all physical activity while recovering. Diet: A high-calorie diet is recommended. Many people develop nausea and cannot tolerate food later in the day, so the bulk of intake may be concentrated in the earlier part of the day. In the acute phase of the disease, intravenous feeding may be needed if patients cannot tolerate food and have poor oral intake subsequent to nausea and vomiting. Drugs: People with hepatitis should avoid taking drugs metabolized by the liver. Glucocorticoids are not recommended as a treatment option for acute viral hepatitis and may even cause harm, such as development of chronic hepatitis. Precautions: Universal precautions should be observed. Isolation is usually not needed, except in cases of hepatitis A and E who have fecal incontinence, and in cases of hepatitis B and C who have uncontrolled bleeding."
Hepatitis A,"Nausea, vomiting, yellow eyes, weakness","Nausea, vomiting, yellow eyes, weakness. Infeksi virus Hepatitis A menyerang hati.","Hepatitis A can be prevented by vaccination, good hygiene, and sanitation. No specific treatment for hepatitis A is known. Recovery from symptoms following infection may take several weeks or months. Therapy is aimed at maintaining comfort and adequate nutritional balance, including replacement of fluids lost from vomiting and diarrhea."
Hepatitis Autoimun Kronis,"Fatigue, nausea, stomach pain, jaundice, itchy skin","Fatigue, nausea, stomach pain, jaundice, itchy skin. Sistem imun menyerang sel hati kronis.",Consult a healthcare professional for accurate precautions.
Hepatitis B,"Abdominal pain, dark urine, yellow skin","Abdominal pain, dark urine, yellow skin. Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","Acute hepatitis B infection does not usually require treatment and most adults clear the infection spontaneously. Early antiviral treatment may be required in fewer than 1% of people, whose infection takes a very aggressive course (fulminant hepatitis) or who are immunocompromised. On the other hand, treatment of chronic infection may be necessary to reduce the risk of cirrhosis and liver cancer. Chronically infected individuals with persistently elevated serum alanine aminotransferase, a marker of liver damage, and HBV DNA levels are candidates for therapy. Treatment lasts from six months to a year, depending on medication and genotype. Treatment duration when medication is taken by mouth, however, is more variable and usually longer than one year. Although none of the available medications can clear the infection, they can stop the virus from replicating, thus minimizing liver damage. As of 2024, there are seven medications licensed for the treatment of hepatitis B infection in the United States. These include antiviral medications lamivudine, adefovir, tenofovir disoproxil, tenofovir alafenamide, telbivudine, and entecavir, and the two immune system modulators interferon alpha-2a and PEGylated interferon alpha-2a. In 2015, the World Health Organization recommended tenofovir or entecavir as first-line agents. Those with current cirrhosis are in most need of treatment. The use of interferon, which requires injections daily or thrice weekly, has been supplanted by long-acting PEGylated interferon, which is injected only once weekly. However, some individuals are much more likely to respond than others, and this might be because of the genotype of the infecting virus or the person's heredity. The treatment reduces viral replication in the liver, thereby reducing the viral load (the amount of virus particles as measured in the blood). Response to treatment differs between the genotypes. Interferon treatment may produce an e antigen seroconversion rate of 37% in genotype A but only a 6% seroconversion in type D. Genotype B has similar seroconversion rates to type A while type C seroconverts only in 15% of cases. Sustained e antigen loss after treatment is ~45% in types A and B but only 25–30% in types C and D. It seems unlikely that the disease will be eliminated by 2030, the goal set in 2016 by WHO. However, progress is being made in developing therapeutic treatments. In 2010, the Hepatitis B Foundation reported that 3 preclinical and 11 clinical-stage drugs were under development, based on largely similar mechanisms. In 2020, they reported that there were 17 preclinical- and 32 clinical-stage drugs under development, using diverse mechanisms."
Hepatitis C,"Yellow eyes, tired easily, stomach ache","Yellow eyes, tired easily, stomach ache. Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","As of 2022, no approved vaccine protects against contracting hepatitis C. A combination of harm reduction strategies, such as the provision of new needles and syringes and treatment of substance use, decreases the risk of hepatitis C in people using injection drugs by about 75%. The screening of blood donors is important at a national level, as is adhering to universal precautions within healthcare facilities. In countries where there is an insufficient supply of sterile syringes, medications should be given orally rather than via injection (when possible). Recent research also suggests that treating people with active infection, thereby reducing the potential for transmission, may be an effective preventive measure. Hepatitis C vaccine phase 1 clinical trials are set to begin in the summer of 2023. Those with chronic hepatitis C are advised to avoid alcohol and medications that are toxic to the liver. They should also be vaccinated against hepatitis A and hepatitis B due to the increased risk if also infected. Use of acetaminophen is generally considered safe at reduced doses. Nonsteroidal anti-inflammatory drugs (NSAIDs) are not recommended in those with advanced liver disease due to an increased risk of bleeding. Ultrasound surveillance for hepatocellular carcinoma is recommended in those with accompanying cirrhosis. Regular, moderate coffee consumption, especially caffeinated, has been associated with a slower rate of liver scarring in those infected with HCV."
Hepatitis D,"Yellow eyes, nausea, weakness, stomach pain","Yellow eyes, nausea, weakness, stomach pain. Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).","Vaccination against hepatitis B protects against hepatitis D viral infection as hepatitis D requires hepatitis B viral infection to be present in order to infect and replicate in people. Universal vaccination against hepatitis B virus is recommended by the World Health Organization. The hepatitis B vaccine is routinely given soon after birth (usually within 24 hours) to protect against hepatitis B and D viral infection. Latex or polyurethane condoms have been shown to prevent the transmission of hepatitis B, and most likely hepatitis D viral infection. Women who are pregnant or trying to become pregnant should undergo testing for HBV to know if they carry the virus, this will allow prevention strategies to be implemented during the birth of the child. The CDC recommends that all women who are pregnant be tested for hepatitis B viral infection and that all infants of women with HBV infection be given hepatitis B immune globulin (HBIG) and the hepatitis B vaccine within 12 hours of birth to prevent transmission of the virus from mother to child. Those who get tattoos or body piercings should do so using sterile equipment to prevent the transmission of hepatitis B and D via infected bodily fluids. Hepatitis B and D can also be transmitted from contaminated needles, so those who inject drugs should seek help to stop drug use or use sterile needles and avoid sharing needles with others. Those with hepatitis B or D should also not share razors or other personal care items which may have been contaminated by potentially infectious bodily fluids. Current established treatments for chronic hepatitis D include conventional or pegylated interferon alpha therapy. Evidence suggests that pegylated interferon alpha is effective in reducing the viral load and the effect of the disease during the time the drug is given, but the benefit generally stops if the drug is discontinued. The efficiency of this treatment does not usually exceed about 20%, and late relapse after therapy has been reported. In May 2020, the Committee for Medicinal Products for Human Use of the European Medicines Agency approved the antiviral Hepcludex (bulevirtide) to treat hepatitis D. Bulevirtide binds and inactivates the sodium/bile acid cotransporter, blocking hepatitis D virus (as well as hepatitis B virus) from entering hepatocytes. Bulevirtide may be given with pegylated interferon alpha as the two are thought to have a synergistic effect, leading to greater treatment response rates. In patients with HDV-related compensated cirrhosis and clinically significant portal hypertension, the treatment with (bulevirtide) was safe, well tolerated and has led to a significant improvement in biochemical variables and an increase in liver function parameters. Other treatments for hepatitis D which are currently under development include pegylated interferon lambda (λ), which binds to receptors on the hepatocyte surface leading to an intracellular signaling cascade via the JAK-STAT signaling pathway and activation of anti-viral cell mediated immunity. The prenylation inhibitor lonafarnib prevents hepatitis D viral particle assembly by inhibiting the farnesylation of the L-HDAg. REP2139-Ca is a nucleic acid polymer that prevents the release of hepatitis B surface antigen (which is required for assembly of hepatitis D viral particles)."
