Disease,Symptoms,Description,Precautions,symptom_list,combined
Kaki Gajah,"Swelling of extremities, thickened skin, wounds easily infected","Swelling of extremities, thickened skin, wounds easily infected. Infeksi cacing filaria menyebabkan limfedema kronis.",Consult a healthcare professional for accurate precautions.,"['swelling of extremities', 'thickened skin', 'wounds easily infected']","kaki gajah swelling of extremities, thickened skin, wounds easily infected swelling of extremities, thickened skin, wounds easily infected. infeksi cacing filaria menyebabkan limfedema kronis. consult a healthcare professional for accurate precautions."
Kanker Darah (Leukemia),"Weakness, paleness, easy infection, bleeding","Weakness, paleness, easy infection, bleeding. Pertumbuhan sel darah putih abnormal.",Consult a healthcare professional for accurate precautions.,"['weakness', 'paleness', 'easy infection', 'bleeding']","kanker darah (leukemia) weakness, paleness, easy infection, bleeding weakness, paleness, easy infection, bleeding. pertumbuhan sel darah putih abnormal. consult a healthcare professional for accurate precautions."
Kanker Hati,"Upper right abdominal pain, enlarged stomach","Upper right abdominal pain, enlarged stomach. Kerusakan hati kronis menyebabkan kanker.",Consult a healthcare professional for accurate precautions.,"['upper right abdominal pain', 'enlarged stomach']","kanker hati upper right abdominal pain, enlarged stomach upper right abdominal pain, enlarged stomach. kerusakan hati kronis menyebabkan kanker. consult a healthcare professional for accurate precautions."
Kanker Kulit,"Moles change shape/color, wounds are difficult to heal","Moles change shape/color, wounds are difficult to heal. Paparan sinar UV berlebihan merusak kulit.",Consult a healthcare professional for accurate precautions.,"['moles change shape/color', 'wounds are difficult to heal']","kanker kulit moles change shape/color, wounds are difficult to heal moles change shape/color, wounds are difficult to heal. paparan sinar uv berlebihan merusak kulit. consult a healthcare professional for accurate precautions."
Kanker Otak,"Severe headaches, seizures, visual disturbances","Severe headaches, seizures, visual disturbances. Pertumbuhan sel abnormal di otak.",Consult a healthcare professional for accurate precautions.,"['severe headaches', 'seizures', 'visual disturbances']","kanker otak severe headaches, seizures, visual disturbances severe headaches, seizures, visual disturbances. pertumbuhan sel abnormal di otak. consult a healthcare professional for accurate precautions."
Kanker Paru,"Chronic cough, shortness of breath, chest pain","Chronic cough, shortness of breath, chest pain. Pertumbuhan sel abnormal di paru-paru.",Consult a healthcare professional for accurate precautions.,"['chronic cough', 'shortness of breath', 'chest pain']","kanker paru chronic cough, shortness of breath, chest pain chronic cough, shortness of breath, chest pain. pertumbuhan sel abnormal di paru-paru. consult a healthcare professional for accurate precautions."
Kanker Payudara,"Lump in the breast, pain, nipple discharge","Lump in the breast, pain, nipple discharge. Pertumbuhan sel abnormal di jaringan payudara.",Consult a healthcare professional for accurate precautions.,"['lump in the breast', 'pain', 'nipple discharge']","kanker payudara lump in the breast, pain, nipple discharge lump in the breast, pain, nipple discharge. pertumbuhan sel abnormal di jaringan payudara. consult a healthcare professional for accurate precautions."
Kanker Prostat,"Difficulty urinating, back pain, blood in the urine","Difficulty urinating, back pain, blood in the urine. Pertumbuhan sel abnormal di prostat.",Consult a healthcare professional for accurate precautions.,"['difficulty urinating', 'back pain', 'blood in the urine']","kanker prostat difficulty urinating, back pain, blood in the urine difficulty urinating, back pain, blood in the urine. pertumbuhan sel abnormal di prostat. consult a healthcare professional for accurate precautions."
Kanker Serviks,"Vaginal discharge mixed with blood, pelvic pain","Vaginal discharge mixed with blood, pelvic pain. Infeksi HPV menyebabkan kanker leher rahim.",Consult a healthcare professional for accurate precautions.,"['vaginal discharge mixed with blood', 'pelvic pain']","kanker serviks vaginal discharge mixed with blood, pelvic pain vaginal discharge mixed with blood, pelvic pain. infeksi hpv menyebabkan kanker leher rahim. consult a healthcare professional for accurate precautions."
Katarak,"Blurred vision, glare, pupils turn white","Blurred vision, glare, pupils turn white. Lensa mata keruh akibat penuaan atau trauma.",Consult a healthcare professional for accurate precautions.,"['blurred vision', 'glare', 'pupils turn white']","katarak blurred vision, glare, pupils turn white blurred vision, glare, pupils turn white. lensa mata keruh akibat penuaan atau trauma. consult a healthcare professional for accurate precautions."
Katarak Kongenital,Babies are born with cloudy eye lenses,Babies are born with cloudy eye lenses. Kelainan bawaan pada lensa mata.,Consult a healthcare professional for accurate precautions.,['babies are born with cloudy eye lenses'],katarak kongenital babies are born with cloudy eye lenses babies are born with cloudy eye lenses. kelainan bawaan pada lensa mata. consult a healthcare professional for accurate precautions.
Kawasaki Disease,"High fever, rash, chapped lips, red eyes","High fever, rash, chapped lips, red eyes. Penyakit peradangan pembuluh darah pada anak.","Children with Kawasaki disease should be hospitalized and cared for by a physician who has experience with this disease. In an academic medical center, care is often shared between pediatric cardiology, pediatric rheumatology, and pediatric infectious disease specialists (although no specific infectious agent has yet been identified). To prevent damage to coronary arteries, treatment should be started immediately following the diagnosis. Intravenous immunoglobulin (IVIG) is the standard treatment for Kawasaki disease and is administered in high doses with marked improvement usually noted within 24 hours. If the fever does not respond, an additional dose may be considered. In rare cases, a third dose may be given. IVIG is most useful within the first seven days of fever onset, to prevent coronary artery aneurysm. IVIG given within the first 10 days of the disease reduces the risk of damage to the coronary arteries in children, without serious adverse effects. A 2023 systematic review and meta-analysis revealed that no prediction models of IVIG resistance in patients with Kawasaki disease could accurately distinguish the resistance. The largest clinical study to date on treatment of resistant Kawasaki disease has shown that infliximab is more effective and safer than a second dose of IVIG in treating children with IVIG-resistant Kawasaki Disease, offering faster fever resolution and reduced hospitalization times without significant adverse events. Salicylate therapy, particularly aspirin, remains an important part of the treatment (though questioned by some) but salicylates alone are not as effective as IVIG. There is limited evidence to indicate whether children should continue to receive salicylate as part of their treatment. Aspirin therapy is started at high doses until the fever subsides, and then is continued at a low dose when the patient returns home, usually for two months to prevent blood clots from forming. Except for Kawasaki disease and a few other indications, aspirin is otherwise normally not recommended for children due to its association with Reye syndrome. Because children with Kawasaki disease will be taking aspirin for up to several months, vaccination against varicella and influenza is required, as these infections are most likely to cause Reye syndrome. High-dose aspirin is associated with anemia and does not confer benefit to disease outcomes. About 15-20% of children following the initial IVIG infusion show persistent or recurrent fever and are classified as IVIG-resistant. While the use of TNF alpha blockers (TNF-α) may reduce treatment resistance and the infusion reaction after treatment initiation, further research is needed. Due to the potential involvement of the upregulated calcium-nuclear factor of activated T cells pathway in the development of the disease, a 2019 study found that the combination of ciclosporin and IVIG infusion can suppress coronary artery abnormalities. Further research is needed to determine which patients would respond best to this treatment. Corticosteroids have also been used, especially when other treatments fail or symptoms recur, but in a randomized controlled trial, the addition of corticosteroid to immune globulin and aspirin did not improve outcome. Additionally, corticosteroid use in the setting of Kawasaki disease is associated with increased risk of coronary artery aneurysm, so its use is generally contraindicated in this setting. In cases of Kawasaki disease refractory to IVIG, cyclophosphamide and plasma exchange have been investigated as possible treatments, with variable outcomes. However, a Cochrane review published in 2017 (updated in 2022) found that, in children, the use of corticosteroids in the acute phase of KD was associated with improved coronary artery abnormalities, shorter hospital stays, a decreased duration of clinical symptoms, and reduced inflammatory marker levels. Patient populations based in Asia, people with higher risk scores, and those receiving longer steroid treatment may have greater benefit from steroid use.","['high fever', 'rash', 'chapped lips', 'red eyes']","kawasaki disease high fever, rash, chapped lips, red eyes high fever, rash, chapped lips, red eyes. penyakit peradangan pembuluh darah pada anak. children with kawasaki disease should be hospitalized and cared for by a physician who has experience with this disease. in an academic medical center, care is often shared between pediatric cardiology, pediatric rheumatology, and pediatric infectious disease specialists (although no specific infectious agent has yet been identified). to prevent damage to coronary arteries, treatment should be started immediately following the diagnosis. intravenous immunoglobulin (ivig) is the standard treatment for kawasaki disease and is administered in high doses with marked improvement usually noted within 24 hours. if the fever does not respond, an additional dose may be considered. in rare cases, a third dose may be given. ivig is most useful within the first seven days of fever onset, to prevent coronary artery aneurysm. ivig given within the first 10 days of the disease reduces the risk of damage to the coronary arteries in children, without serious adverse effects. a 2023 systematic review and meta-analysis revealed that no prediction models of ivig resistance in patients with kawasaki disease could accurately distinguish the resistance. the largest clinical study to date on treatment of resistant kawasaki disease has shown that infliximab is more effective and safer than a second dose of ivig in treating children with ivig-resistant kawasaki disease, offering faster fever resolution and reduced hospitalization times without significant adverse events. salicylate therapy, particularly aspirin, remains an important part of the treatment (though questioned by some) but salicylates alone are not as effective as ivig. there is limited evidence to indicate whether children should continue to receive salicylate as part of their treatment. aspirin therapy is started at high doses until the fever subsides, and then is continued at a low dose when the patient returns home, usually for two months to prevent blood clots from forming. except for kawasaki disease and a few other indications, aspirin is otherwise normally not recommended for children due to its association with reye syndrome. because children with kawasaki disease will be taking aspirin for up to several months, vaccination against varicella and influenza is required, as these infections are most likely to cause reye syndrome. high-dose aspirin is associated with anemia and does not confer benefit to disease outcomes. about 15-20 of children following the initial ivig infusion show persistent or recurrent fever and are classified as ivig-resistant. while the use of tnf alpha blockers (tnf- ) may reduce treatment resistance and the infusion reaction after treatment initiation, further research is needed. due to the potential involvement of the upregulated calcium-nuclear factor of activated t cells pathway in the development of the disease, a 2019 study found that the combination of ciclosporin and ivig infusion can suppress coronary artery abnormalities. further research is needed to determine which patients would respond best to this treatment. corticosteroids have also been used, especially when other treatments fail or symptoms recur, but in a randomized controlled trial, the addition of corticosteroid to immune globulin and aspirin did not improve outcome. additionally, corticosteroid use in the setting of kawasaki disease is associated with increased risk of coronary artery aneurysm, so its use is generally contraindicated in this setting. in cases of kawasaki disease refractory to ivig, cyclophosphamide and plasma exchange have been investigated as possible treatments, with variable outcomes. however, a cochrane review published in 2017 (updated in 2022) found that, in children, the use of corticosteroids in the acute phase of kd was associated with improved coronary artery abnormalities, shorter hospital stays, a decreased duration of clinical symptoms, and reduced inflammatory marker levels. patient populations based in asia, people with higher risk scores, and those receiving longer steroid treatment may have greater benefit from steroid use."
Kidney Cancer,,"Kidney cancer, also known as renal cancer, is a group of cancers that starts in the kidney. Symptoms may include blood in the urine, a lump in the abdomen, or back pain. Fever, weight loss, and tiredness may also occur.","Treatment for kidney cancer depends on the type and stage of the disease. Surgery is the most common treatment as kidney cancer does not often respond to chemotherapy and radiotherapy. Surgical complexity can be estimated by the RENAL Nephrometry Scoring System. If the cancer has not spread it will usually be removed by surgery. In some cases this involves removing the whole kidney however most tumors are amenable to partial removal to eradicate the tumor and preserve the remaining normal portion of the kidney. Surgery is not always possible – for example, the patient may have other medical conditions that prevent it, or the cancer may have spread around the body and doctors may not be able to remove it. If the cancer cannot be treated with surgery, other techniques such as freezing the tumour or treating it with high temperatures may be used. However, these are not yet used as standard treatments for kidney cancer. Recently, evidence stemming from the KEYNOTE-564 study has shed light on the potential use of systemic therapy in the adjuvant setting, with promising results. Patients exhibiting specific clear cell RCC tumor characteristics and having undergone treatment with Pembrolizumab for 17 cycles (around 1 year) had significant improvement in disease-free survival. However, the study has yet to yield conclusive findings in relation to overall survival. Other treatment options include biological therapies such as everolimus, torisel, nexavar, sutent, and axitinib, the use of immunotherapy including interferon and interleukin-2. Immunotherapy is successful in 10 to 15% of people. Sunitinib is the current standard of care in the adjuvant setting along with pazopanib; these treatments are often followed by everolimus, axitinib, and sorafenib. Immune checkpoint inhibitors are also in trials for kidney cancer, and some have gained approval for medical use. In the second line setting, nivolumab demonstrated an overall survival advantage in advanced clear renal cell carcinoma over everolimus in 2015 and was approved by the FDA. Cabozantinib also demonstrated an overall survival benefit over everolimus and was approved by the FDA as a second-line treatment in 2016. Lenvatinib in combination with everolimus was approved in 2016 for patients who have had exactly one prior line of angiogenic therapy. In Wilms' tumor, chemotherapy, radiotherapy and surgery are the accepted treatments, depending on the stage of the disease when it is diagnosed.",[],"kidney cancer kidney cancer, also known as renal cancer, is a group of cancers that starts in the kidney. symptoms may include blood in the urine, a lump in the abdomen, or back pain. fever, weight loss, and tiredness may also occur. treatment for kidney cancer depends on the type and stage of the disease. surgery is the most common treatment as kidney cancer does not often respond to chemotherapy and radiotherapy. surgical complexity can be estimated by the renal nephrometry scoring system. if the cancer has not spread it will usually be removed by surgery. in some cases this involves removing the whole kidney however most tumors are amenable to partial removal to eradicate the tumor and preserve the remaining normal portion of the kidney. surgery is not always possible for example, the patient may have other medical conditions that prevent it, or the cancer may have spread around the body and doctors may not be able to remove it. if the cancer cannot be treated with surgery, other techniques such as freezing the tumour or treating it with high temperatures may be used. however, these are not yet used as standard treatments for kidney cancer. recently, evidence stemming from the keynote-564 study has shed light on the potential use of systemic therapy in the adjuvant setting, with promising results. patients exhibiting specific clear cell rcc tumor characteristics and having undergone treatment with pembrolizumab for 17 cycles (around 1 year) had significant improvement in disease-free survival. however, the study has yet to yield conclusive findings in relation to overall survival. other treatment options include biological therapies such as everolimus, torisel, nexavar, sutent, and axitinib, the use of immunotherapy including interferon and interleukin-2. immunotherapy is successful in 10 to 15 of people. sunitinib is the current standard of care in the adjuvant setting along with pazopanib these treatments are often followed by everolimus, axitinib, and sorafenib. immune checkpoint inhibitors are also in trials for kidney cancer, and some have gained approval for medical use. in the second line setting, nivolumab demonstrated an overall survival advantage in advanced clear renal cell carcinoma over everolimus in 2015 and was approved by the fda. cabozantinib also demonstrated an overall survival benefit over everolimus and was approved by the fda as a second-line treatment in 2016. lenvatinib in combination with everolimus was approved in 2016 for patients who have had exactly one prior line of angiogenic therapy. in wilms tumor, chemotherapy, radiotherapy and surgery are the accepted treatments, depending on the stage of the disease when it is diagnosed."
Kidney Disease,,"Kidney diseases, or renal diseases, technically referred to as nephropathies, are pathological conditions affecting the kidneys—the organs that facilitate removal of waste products and toxins from the bloodstream, regulate the body's concentration of electrolytes, maintain the appropriate acid-base balance of plasma, and produce urine as a byproduct of metabolism. When used colloquially, the term kidney disease may refer to chronic kidney disease (CKD), an umbrella term for any progressive loss of kidney function over at least three months, from any cause. In contrast, kidney damage over a shorter period of time is known as acute kidney injury.",Consult a healthcare professional for accurate precautions.,[],"kidney disease kidney diseases, or renal diseases, technically referred to as nephropathies, are pathological conditions affecting the kidneys the organs that facilitate removal of waste products and toxins from the bloodstream, regulate the body s concentration of electrolytes, maintain the appropriate acid-base balance of plasma, and produce urine as a byproduct of metabolism. when used colloquially, the term kidney disease may refer to chronic kidney disease (ckd), an umbrella term for any progressive loss of kidney function over at least three months, from any cause. in contrast, kidney damage over a shorter period of time is known as acute kidney injury. consult a healthcare professional for accurate precautions."
Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Kidney failure, also known as renal failure or end-stage renal disease (ESRD), is a medical condition in which the kidneys can no longer adequately filter waste products from the blood, functioning at less than 15% of normal levels. Kidney failure is classified as either acute kidney failure, which develops rapidly and may resolve; and chronic kidney failure, which develops slowly and can often be irreversible. Symptoms may include leg swelling, feeling tired, vomiting, loss of appetite, and confusion.","The treatment of acute kidney injury depends on the cause. The treatment of chronic kidney failure may include renal replacement therapy: hemodialysis, peritoneal dialysis, or kidney transplant.","['decreased urine output', 'fluid retention', 'fatigue', 'shortness of breath', 'nausea', 'confusion', 'chest pain', 'seizures']","kidney failure decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures kidney failure, also known as renal failure or end-stage renal disease (esrd), is a medical condition in which the kidneys can no longer adequately filter waste products from the blood, functioning at less than 15 of normal levels. kidney failure is classified as either acute kidney failure, which develops rapidly and may resolve and chronic kidney failure, which develops slowly and can often be irreversible. symptoms may include leg swelling, feeling tired, vomiting, loss of appetite, and confusion. the treatment of acute kidney injury depends on the cause. the treatment of chronic kidney failure may include renal replacement therapy hemodialysis, peritoneal dialysis, or kidney transplant."
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination","Kidney stone disease or urinary stone disease is a crystallopathy that occurs when there are too many minerals in the urine and not enough liquid or hydration. This imbalance causes tiny pieces of crystal to aggregate and form hard masses, or calculi (stones) in the upper urinary tract. Because renal calculi typically form in the kidney, if small enough, they are able to leave the urinary tract via the urine stream.","Preventative measures depend on the type of stones. In those with calcium stones, drinking plenty of fluids, thiazide diuretics and citrate are effective as is allopurinol in those with high uric acid levels in urine. Stone size influences the rate of spontaneous stone passage. For example, up to 98% of small stones (less than 5 mm (0.2 in) in diameter) may pass spontaneously through urination within four weeks of the onset of symptoms, but for larger stones (5 to 10 mm (0.2 to 0.4 in) in diameter), the rate of spontaneous passage decreases to less than 53%. Initial stone location also influences the likelihood of spontaneous stone passage. Rates increase from 48% for stones located in the proximal ureter to 79% for stones located at the vesicoureteric junction, regardless of stone size. Assuming no high-grade obstruction or associated infection is found in the urinary tract, and symptoms are relatively mild, various nonsurgical measures can be used to encourage the passage of a stone. Repeat stone formers benefit from more intense management, including proper fluid intake and use of certain medications, as well as careful monitoring.","['severe pain in the side or back', 'blood in the urine', 'frequent urination']","kidney stone severe pain in the side or back, blood in the urine, frequent urination kidney stone disease or urinary stone disease is a crystallopathy that occurs when there are too many minerals in the urine and not enough liquid or hydration. this imbalance causes tiny pieces of crystal to aggregate and form hard masses, or calculi (stones) in the upper urinary tract. because renal calculi typically form in the kidney, if small enough, they are able to leave the urinary tract via the urine stream. preventative measures depend on the type of stones. in those with calcium stones, drinking plenty of fluids, thiazide diuretics and citrate are effective as is allopurinol in those with high uric acid levels in urine. stone size influences the rate of spontaneous stone passage. for example, up to 98 of small stones (less than 5 mm (0.2 in) in diameter) may pass spontaneously through urination within four weeks of the onset of symptoms, but for larger stones (5 to 10 mm (0.2 to 0.4 in) in diameter), the rate of spontaneous passage decreases to less than 53 . initial stone location also influences the likelihood of spontaneous stone passage. rates increase from 48 for stones located in the proximal ureter to 79 for stones located at the vesicoureteric junction, regardless of stone size. assuming no high-grade obstruction or associated infection is found in the urinary tract, and symptoms are relatively mild, various nonsurgical measures can be used to encourage the passage of a stone. repeat stone formers benefit from more intense management, including proper fluid intake and use of certain medications, as well as careful monitoring."
Kista Ovarium,"Lower abdominal pain, irregular menstruation","Lower abdominal pain, irregular menstruation. Kantung berisi cairan di ovarium.",Consult a healthcare professional for accurate precautions.,"['lower abdominal pain', 'irregular menstruation']","kista ovarium lower abdominal pain, irregular menstruation lower abdominal pain, irregular menstruation. kantung berisi cairan di ovarium. consult a healthcare professional for accurate precautions."
Kistik Fibrosis,"Cough with thick phlegm, shortness of breath, indigestion","Cough with thick phlegm, shortness of breath, indigestion. Kelainan genetik mempengaruhi kelenjar mukus, menyebabkan lendir kental.",Consult a healthcare professional for accurate precautions.,"['cough with thick phlegm', 'shortness of breath', 'indigestion']","kistik fibrosis cough with thick phlegm, shortness of breath, indigestion cough with thick phlegm, shortness of breath, indigestion. kelainan genetik mempengaruhi kelenjar mukus, menyebabkan lendir kental. consult a healthcare professional for accurate precautions."
Klamidia,"Painful urination, abnormal discharge, often without symptoms","Painful urination, abnormal discharge, often without symptoms. Infeksi bakteri Chlamydia trachomatis di saluran reproduksi.",Consult a healthcare professional for accurate precautions.,"['painful urination', 'abnormal discharge', 'often without symptoms']","klamidia painful urination, abnormal discharge, often without symptoms painful urination, abnormal discharge, often without symptoms. infeksi bakteri chlamydia trachomatis di saluran reproduksi. consult a healthcare professional for accurate precautions."
Klinefelter Syndrome,,"Klinefelter syndrome (KS), also known as 47,XXY, is a chromosome anomaly where a male has an extra X chromosome. The complications commonly include infertility and small, poorly functioning testicles (if present). These symptoms are often noticed only at puberty, although this is one of the most common chromosomal disorders.","As the genetic variation is irreversible, no causal therapy is available. From the onset of puberty, the existing testosterone deficiency can be compensated by appropriate hormone-replacement therapy. Testosterone preparations are available in the form of syringes, patches, or gel. If gynecomastia is present, the surgical removal of the breast may be considered for psychological benefits and to reduce the risk of breast cancer. The use of behavioral therapy can mitigate any language disorders, difficulties at school, and socialization. An approach by occupational therapy is useful in children, especially those who have dyspraxia.",[],"klinefelter syndrome klinefelter syndrome (ks), also known as 47,xxy, is a chromosome anomaly where a male has an extra x chromosome. the complications commonly include infertility and small, poorly functioning testicles (if present). these symptoms are often noticed only at puberty, although this is one of the most common chromosomal disorders. as the genetic variation is irreversible, no causal therapy is available. from the onset of puberty, the existing testosterone deficiency can be compensated by appropriate hormone-replacement therapy. testosterone preparations are available in the form of syringes, patches, or gel. if gynecomastia is present, the surgical removal of the breast may be considered for psychological benefits and to reduce the risk of breast cancer. the use of behavioral therapy can mitigate any language disorders, difficulties at school, and socialization. an approach by occupational therapy is useful in children, especially those who have dyspraxia."
Kolera,"Severe watery diarrhea, rapid dehydration","Severe watery diarrhea, rapid dehydration. Infeksi bakteri Vibrio cholerae.",Consult a healthcare professional for accurate precautions.,"['severe watery diarrhea', 'rapid dehydration']","kolera severe watery diarrhea, rapid dehydration severe watery diarrhea, rapid dehydration. infeksi bakteri vibrio cholerae. consult a healthcare professional for accurate precautions."
Konjungtivitis,"Red, itchy, watery eyes","Red, itchy, watery eyes. Infeksi virus/bakteri atau alergi pada mata.",Consult a healthcare professional for accurate precautions.,"['red', 'itchy', 'watery eyes']","konjungtivitis red, itchy, watery eyes red, itchy, watery eyes. infeksi virus/bakteri atau alergi pada mata. consult a healthcare professional for accurate precautions."
Kurap,"Red, scaly patches on the skin are circular, itchy","Red, scaly patches on the skin are circular, itchy. Infeksi jamur dermatofita pada kulit, rambut, atau kuku.",Consult a healthcare professional for accurate precautions.,"['red', 'scaly patches on the skin are circular', 'itchy']","kurap red, scaly patches on the skin are circular, itchy red, scaly patches on the skin are circular, itchy. infeksi jamur dermatofita pada kulit, rambut, atau kuku. consult a healthcare professional for accurate precautions."
Kusta,"Skin numbness, white patches, wounds that are difficult to heal","Skin numbness, white patches, wounds that are difficult to heal. Infeksi bakteri Mycobacterium leprae.",Consult a healthcare professional for accurate precautions.,"['skin numbness', 'white patches', 'wounds that are difficult to heal']","kusta skin numbness, white patches, wounds that are difficult to heal skin numbness, white patches, wounds that are difficult to heal. infeksi bakteri mycobacterium leprae. consult a healthcare professional for accurate precautions."
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain",,"The treatment for vestibular neuritis depends on the cause. However, symptoms of vertigo can be treated in the same way as other vestibular dysfunctions with vestibular rehabilitation.","['vertigo', 'dizziness', 'nausea', 'hearing loss', 'ear pain']","labyrinthitis vertigo, dizziness, nausea, hearing loss, ear pain the treatment for vestibular neuritis depends on the cause. however, symptoms of vertigo can be treated in the same way as other vestibular dysfunctions with vestibular rehabilitation."
Langerhans Cell Histiocytosis,"Skin rashes, bone pain, organ swelling","Skin rashes, bone pain, organ swelling. Proliferasi abnormal sel Langerhans.","Guidelines for management of patients up to 18 years with Langerhans cell histiocytosis have been suggested. Treatment is guided by extent of disease. Solitary bone lesion may be amenable through excision or limited radiation, dosage of 5-10 Gy for children, 24-30 Gy for adults. However systemic diseases often require chemotherapy. Use of systemic steroid is common, singly or adjunct to chemotherapy. Local steroid cream is applied to skin lesions. Endocrine deficiency often require lifelong supplement e.g. desmopressin for diabetes insipidus which can be applied as nasal drop. Chemotherapeutic agents such as alkylating agents, antimetabolites, vinca alkaloids either singly or in combination can lead to complete remission in diffuse disease.","['skin rashes', 'bone pain', 'organ swelling']","langerhans cell histiocytosis skin rashes, bone pain, organ swelling skin rashes, bone pain, organ swelling. proliferasi abnormal sel langerhans. guidelines for management of patients up to 18 years with langerhans cell histiocytosis have been suggested. treatment is guided by extent of disease. solitary bone lesion may be amenable through excision or limited radiation, dosage of 5-10 gy for children, 24-30 gy for adults. however systemic diseases often require chemotherapy. use of systemic steroid is common, singly or adjunct to chemotherapy. local steroid cream is applied to skin lesions. endocrine deficiency often require lifelong supplement e.g. desmopressin for diabetes insipidus which can be applied as nasal drop. chemotherapeutic agents such as alkylating agents, antimetabolites, vinca alkaloids either singly or in combination can lead to complete remission in diffuse disease."
Lassa,"Fever, sore throat, muscle aches, light bleeding","Fever, sore throat, muscle aches, light bleeding. Infeksi virus Lassa melalui urin tikus.",Consult a healthcare professional for accurate precautions.,"['fever', 'sore throat', 'muscle aches', 'light bleeding']","lassa fever, sore throat, muscle aches, light bleeding fever, sore throat, muscle aches, light bleeding. infeksi virus lassa melalui urin tikus. consult a healthcare professional for accurate precautions."
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Tennis elbow, also known as lateral epicondylitis, is an enthesopathy (attachment point disease) of the origin of the extensor carpi radialis brevis on the lateral epicondyle. It causes pain and tenderness over the bony part of the lateral epicondyle. Symptoms range from mild tenderness to severe, persistent pain.",Consult a healthcare professional for accurate precautions.,"['pain or tenderness on the outer side of the elbow', 'weak grip strength', 'difficulty with forearm movements']","lateral epicondylitis (tennis elbow) pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements tennis elbow, also known as lateral epicondylitis, is an enthesopathy (attachment point disease) of the origin of the extensor carpi radialis brevis on the lateral epicondyle. it causes pain and tenderness over the bony part of the lateral epicondyle. symptoms range from mild tenderness to severe, persistent pain. consult a healthcare professional for accurate precautions."
